Cust.No.,Name(1),Name(2),Contact,add1,add2,add3,add4,Phone,Fax,Area,Agent,Term
3000/A01,ALL 2 EAT FOOD CORNER SDN BHD,,,"NO.2, JALAN NADCHAFIRAM,","TAMAN TAYNTON VIEW,",56000 KUALA LUMPUR.,,,,K.L,,7DAYS
3000/A02,ANDALASIA GROUP SDN BHD (IPOH),(876007-W),,"NO.51 & 51A, JALAN MEDAN IPOH 4,","BANDAR BARU MEDAN IPOH,","31400 IPOH, PERAK.",,05-548 6982,,IPOH,,7 DAYS
3000/A03,ANDALASIA CAFE SDN BHD(1ST GARDEN),(889964-M),,"NO.40, OFF JALAN NG SONG TEIK,","TAMAN PERTAMA, 30100 IPOH,",PERAK.,,,,IPOH,,7 DAYS
3000/B01,BIG GOURMET SDN BHD(KLANG),,,"NO:B4-20-0, JLN BATU NILAM 3,","BANDAR BUKIT TINGGI,","41200 KLANG, SELANGOR.",,03-33240799,,K.VALLEY,,7DAYS
3000/D01,DELTA RITZ SDN BHD(JAYA 1),,,"39&41-LG2, BLOCK C, JAYA ONE","NO.72A, JALAN UNIVERSITI","46200 PETALING JAYA,",SELANGOR DARUL EHSAN.,03-7960 0139,,K.VALLEY,,7 DAYS
3000/D02,DELI-CLASSIC SDN BHD (PUCHONG JAYA),,,"NO.6, JALAN KENALI 6,","BANDAR PUCHONG JAYA,","47100 PUCHONG, SELANGOR.",,03-5882 2278,,K.VALLEY,,7 DAYS
3000/E01,EMPIRE KITCHEN SDN BHD(BP),,,"NO:25, JALAN PUTERI 2/1,","BANDAR PUTERI,","47100 PUCHONG, SELANGOR.",,03-8061 0884,,K.VALLEY,,7 DAYS
3000/E02,EMPIRE KITCHEN SDN BHD(PJ)XX,,,"NO:6, JALAN KENARI 6,","BANDAR PUCHONG JAYA,","47100 PUCHONG, SELANGOR.",,03-5882 2278,,K.VALLEY,,7 DAYS
3000/E03,EMPIRE KITCHEN SDN BHD(SS15),,,"NO:24&26, JLN SS15/8B,","47500 SUBANG JAYA,",SELANGOR.,,03-5632 4588,,K.VALLEY,,7 DAYS
3000/E04,ETHNIC VIBES SDN BHD(RAMPAI),,,"33&35, JALAN RAMPAI NIAGA 5","RAMPAI BUSSINESS PARK,","TAMAN SRI RAMPAI,",53300 K.L,,,K.L,,7 DAYS
3000/F02,FOOD SENSE SDN BHD(ST),,,"A-G-8 & A-G-9,","PLAZA PRIMA SETAPAK,","JALAN PRIMA SETAPAK 5,",53300 K.L,03-4023 7719,03-4023 7719,K.L,,7 DAYS
3000/G04,GOLDEN SEASON RESTAURANT S/B(OUG),,MS.WONG,"LOT 1, GROUND FLOOR,CITRUS PARK","FOOD EMPORIUM,PLAZA OUG,","TMN OUG, JLN KLANG LAMA,",58200 K.L,03-7982 1671,,K.L,,7 DAYS
3000/G05,GOOD FOOD PARADISE SDN BHD(D.SUNWAY),,,"227.1, JALAN PJU 5/13,","DATARAN SUNWAY,","47810 KOTA DAMANSARA,PETALING JAYA",,03-6157 2259,,K.VALLEY,,7 DAYS
3000/G06,GOLDEN INDULGENCE SDN BHD(BKT.INDAH),,,"33, JALAN INDAH 16/6,","TAMAN BUKIT INDAH,","81200 JOHOR BAHRU, JOHOR.",,07-2327 688,,J.B,,7 DAYS
3000/G07,GOLDEN PLATTERS SDN BHD (RAWANG),,,"22G & 26G, JALAN RS 2,","RAWANG SENTRAL,","48000, RAWANG, SELANGOR.",,03-6091 3876,,K.VALLEY,,7 DAYS
3000/H02,HOME TASTE RESTAURANT S/BHD(S.KEMBANGAN),,,"NO.1, JALAN EQUINE 9A","TAMAN EQUINE,","BANDAR PUTRA PERMAI,","43300 SRI KEMBANGAN, SELANGOR",03-8938 1266,03-8938 1266,K.VALLEY,,7 DAYS
3000/H03,123 HARVEST SDN BHD(A.PURI),,,"3-23AA,GF JALAN DESA 2/2","DESA AMAN PURI,","SRI DAMANSARA, 52200 SELANGOR",,03-6276 3223,,K.VALLEY,,7 DAYS
3000/H05,HARMONY CAFE SDN BHD (SEREMBAN),(859838-K),,"LOT GF29, GF30, GF31","TERMINAL 2, JALAN ERA SQUARE,","ERA SQUARE, 70200, SEREMBAN, N.S.",,06-7688 196,,S'BAN,,7 DAYS
3000/I01,IDEAL FLAVOURS SDN BHD(PELANGI),,,"NO.4, JALAN SERAMPANG","TAMAN PELANGI,",80400 JOHOR BAHRU,,07-331 4718,,J.B,,7 DAYS
3000/I02,INNOPURE SDN BHD(QUEENSBAY MALL),(881913-P),,GF-122 & 121 GFNZ-CA1,"QUEENSBAY MALL,","100, PERSIARAN BAYAN INDAH,","11900 BAYAN LEPAS, PULAU PINANG.",,,P.G,,7 DAYS
3000/J01,JUMBO PARADISE SDN BHD(T.MOLEK),,,"78, GROUND FLOOR,","JLN MOLEK 2/2, TAMAN MOLEK",81100 JOHOR BAHRU.,,07-357 0306,,J.B,,7 DAYS
3000/J02,"JAZ TALK SDN BHD(AUSTIN,JOHOR)",(863557-M),,"NO.32A & 36,",JALAN AUSTIN HEIGHT 3/2,TAMAN MOUNT AUSTIN 81100,JOHOR BAHRU,07-351 2314,,J.B,,7 DAYS
3000/K01,KITCHEN DELIGHTS SDN BHD(SG.PETANI),(883263-X),,"136, JALAN LAGENDA 4,","LAGENDA HEIGHTS,","08000 SUNGAI PETANI,",KEDAH DARUL AMAN.,04-422 4368,,KEDAH,,7 DAYS
3000/L01,LOCAL KITCHEN SDN BHD(SG.LONG),,,"NO.39&41, JLN SG.LONG 1/4",BANDAR SG.LONG,43000 KAJANG,,03-9075 9709,,K.VALLEY,,7 DAYS
3000/L02,LIVE STATION SDN BHD(T.AMINAH),,,"NO.85, JLN BENTARA 20,","TAMAN TUN AMINAH,",81300 SKUDAI JOHOR BAHRU,,07-558 1622,,J.B,,7 DAYS
3000/L03,LAMAN ERAMAS SDN BHD (SELAYANG),,012-692 7267,"1G, JALAN SP1,","SELAYANG POINT 68000,",BATU CAVES SELANGOR.,,03-6120 1389,,K.VALLEY,,7 DAYS
3000/L04,LH MULTIPURPOSE SDN BHD(KUANTAN),(855713-V),,"B-2, JALAN AIR PUTIH ,","PUSAT KOMERSIAL AIR PUTIH,","25300 KUANTAN PAHANG,",DARUL MAKMUR.,,,KUANTAN,,7 DAYS
3000/M01,MAJOR DELUXE SDN BHD,,,"NO:6A,JALAN MUTIARA RAYA,","TAMAN MUTIARA,",56000 KUALA LUMPUR.,,03-91329733,,K.L,,7 DAYS
3000/N01,NICE TO EAT FOOD CENTRE SDN BHD,,,LOTS FC1&FC2 PUTERI MART,"NO.1, LENGKOK PUTERI UTAMA",BANDAR PUTERI 47100,PUCHONG SELANGOR,03-8061 0037,,K.VALLEY,,7 DAYS
3000/N03,NBL CAFE SDN BHD(MELAKA),,,"11, JALAN MUTIARA 4,",MUKIM BATU BERENDAM,75350 MELAKA.,,06-317 3221,,MELAKA,,7 DAYS
3000/N04,NEW PRO-STAR SDN BHD,,,"NO.4-2, PLAZA DANAU,","JALAN 5/109F,","TAMAN DANAU DESA, 58100 K.L.",,03-7981 1009,03-7981 0133,,,
3000/O01,ONE TJ SYNERGY SDN BHD(S.RAMPAI)XX,,,"33&35, JALAN RAMPAI NIAGA 5","RAMPAI BUSSINESS PARK,","TAMAN SRI RAMPAI,",53300 K.L,03-4142 5589,,K.L,,7 DAYS
3000/P01,POWERFICIENT SDN BHD(AD),,,"BLOCK A-G-6&A-G-7,","JALAN PJU 1A/41B,",ARA DAMANSARA,47301 PETALING JAYA,03-7885 0225,03-3168 9212,K.VALLEY,,7 DAYS
3000/P02,PEARL HARVEST RESTAURANT SDN BHD(TMN.U),(870541-P),,"25, JALAN KEBUDAYAAN 2,","TAMAN UNIVERSITI,","81300 SKUDAI, JOHOR.",,,,J.B,,7 DAYS
3000/P03,PREMIUM SENSE SDN BHD(TAIPING),(883931-K),,"LOT G-34&G-35, GROUND FLOOR,","TAIPING SENTRAL MALL,","NO.36, JALAN ISTANA LARUT,",34000 TAIPING PERAK.,05-8058 225,,,,7 DAYS
3000/R01,R & M PRODUCTS SDN BHD (UPTOWN),,,"21G & 23G, JALAN SS21/60,","DAMANSARA UTAMA,","47400 PETALING JAYA,",SELANGOR DARUL EHSAN.,03-7729 4360,,K.VALLEY,,7 DAYS
3000/S02,STATION ONE PRODUCTS SDN BHD(TM),,,"NO.6A, JLN MUTIARA RAYA,","TAMAN MUTIARA,",56100 KUALA LUMPUR.,,03-9131 4188,03-9130 5466,K.L,,7 DAYS
3000/S03,SPECIAL RECIPE SDN BHD(KEPONG),,,"NO.15, JALAN PRIMA 1,",PUSAT NIAGA METRO PRIMA,"KEPONG, 52100 KUALA LUMPUR",,03-6250 9910,,K.L,,7 DAYS
3000/S04,STATION ONE PRODUCTS SDN BHD(PI),,,"NO.56, JALAN 4/3,","PANDAH INDAH,",55100 KUALA LUMPUR,,03-4292 8688,,K.L,,7 DAYS
3000/S06,STATION ONE MANAGEMENT & PROPERTIES S/B,,,"NO:6A,JLN MUTIARA RAYA,","TMN MUTIARA,",56000 KUALA LUMPUR.,,03-91306466,,K.L,,7 DAYS
3000/S07,S & B CATERERS SDN BHD(TAIPAN),,,"1, JALAN USJ 10/1C,",TAIPAN UEP SUBANG JAYA,47610 SELANGOR,,03-5632 4584,,K.VALLEY,,7 DAYS
3000/S08,SUPER KITCHEN DELIGHT SDN BHD(BT.PAHAT),,,"NO.45&45A_47&47A,",JALAN SETIA JAYA UTAMA,"83000 BATU PAHAT, JOHOR",,07-4317 637,,J.B,,7 DAYS
3000/S09,SUNRISE BLOSSOM SDN BHD(MELAKA RAYA),(860531-M),,"364, JALAN MELAKA RAYA 4,","TAMAN MELAKA RAYA,",75000 MELAKA.,,06-2863 111,,MELAKA,,7 DAYS
3000/S10,STATION ONE PENANG SDN BHD(KOMTAR),,,"LOT 17 & 18, KOMTAR WALK,","10000, GEORGETOWN PENANG",MALAYSIA.,,04-261 2362,,P.G,,7 DAYS
3000/T01,TWENTY TWENTY RECIPE SDN BHD,,,"BLOCK L4-1-2,","JALAN PEKAN BARU 34,","41050 KLANG, SELANGOR",,03-3343 9949,,K.VALLEY,,7 DAYS
3000/T03,THE HAPPENING CAFE SDN BHD(MJ),,,"NO.15, JALAN 1/62D",MEDAN PUTRA BUSINESS CENTRE,OFF JALAN DAMANSARA,52200 KUALA LUMPUR,03-6272 1778,,K.VALLEY,,7 DAYS
3000/T04,THE HAPPENING CAFE SDN BHD(KC),,,"NO.36G, JALAN KUCHAI MAJU 8,",OFF JALAN KUCHAI LAMA,58100 KUALA LUMPUR,,03-7982 1622,,K.L,,7 DAYS
3000/T05,TITANIUM ONE SDN BHD(BKT.MERTAJAM),,,"3203, JALAN MAJU,","TAMAN MAJU UTAMA,",14000 BUKIT MERTAJAM.,,04-530 1319,04-530 1319,P.G,,7 DAYS
3000/V01,V FOOD CAFE SDN BHD(TMN.PERTAMA),,,"NO.17, JALAN 2/90,","TAMAN PERTAMA,",56100 KUALA LUMPUR.,,03-9282 5233,,K.L,,7 DAYS
3000/W01,WOTTE CAFE SDN BHD(B.SUNWAY),,,"NO.1,GF, JALAN PJS","11/28B, BANDAR SUNWAY",46150 PETALING JAYA,,03-5636 9558,,K.VALLEY,,7 DAYS
3005/C01,CASH SALES,,,,,,,,,,,7 DAYS
